Metric,Value
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,8.572892
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,0
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79983
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79996
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.000174537
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.000195718
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.0000354686
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.000195718
design_powergrid__voltage__worst,0.000195718
design_powergrid__voltage__worst__net:VPWR,1.79983
design_powergrid__drop__worst,0.000195718
design_powergrid__drop__worst__net:VPWR,0.000174537
design_powergrid__voltage__worst__net:VGND,0.000195718
design_powergrid__drop__worst__net:VGND,0.000195718
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.000040800000000000002388887698767661049714661203324794769287109375
ir__drop__worst,0.00017499999999999999822190843712377272822777740657329559326171875
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
