Instance,Terminal,Layer,X location,Y location,Voltage
output3,VGND,li1,33.5800,10.8800,0.000002
input2,VGND,li1,7.5900,32.6400,0.000001
input1,VGND,li1,7.5900,38.0800,0.000000
TAP_TAPCELL_ROW_14_63,VGND,li1,57.2700,49.2510,0.000000
TAP_TAPCELL_ROW_14_62,VGND,li1,44.3900,49.2510,0.000000
TAP_TAPCELL_ROW_14_61,VGND,li1,31.5100,49.2510,0.000000
TAP_TAPCELL_ROW_14_60,VGND,li1,18.6300,49.2510,0.000000
TAP_TAPCELL_ROW_13_59,VGND,li1,57.2700,48.6680,0.000000
TAP_TAPCELL_ROW_13_58,VGND,li1,31.5100,48.6680,0.000000
TAP_TAPCELL_ROW_12_57,VGND,li1,44.3900,43.8110,0.000000
TAP_TAPCELL_ROW_12_56,VGND,li1,18.6300,43.8110,0.000000
TAP_TAPCELL_ROW_11_55,VGND,li1,57.2700,43.2280,0.000000
TAP_TAPCELL_ROW_11_54,VGND,li1,31.5100,43.2280,0.000000
TAP_TAPCELL_ROW_10_53,VGND,li1,44.3900,38.3710,0.000000
TAP_TAPCELL_ROW_10_52,VGND,li1,18.6300,38.3710,0.000000
TAP_TAPCELL_ROW_9_51,VGND,li1,57.2700,37.7880,0.000000
TAP_TAPCELL_ROW_9_50,VGND,li1,31.5100,37.7880,0.000000
TAP_TAPCELL_ROW_8_49,VGND,li1,44.3900,32.9310,0.000000
TAP_TAPCELL_ROW_8_48,VGND,li1,18.6300,32.9310,0.000001
TAP_TAPCELL_ROW_7_47,VGND,li1,57.2700,32.3480,0.000000
TAP_TAPCELL_ROW_7_46,VGND,li1,31.5100,32.3480,0.000000
TAP_TAPCELL_ROW_6_45,VGND,li1,44.3900,27.4910,0.000000
TAP_TAPCELL_ROW_6_44,VGND,li1,18.6300,27.4910,0.000000
TAP_TAPCELL_ROW_5_43,VGND,li1,57.2700,26.9080,0.000000
TAP_TAPCELL_ROW_5_42,VGND,li1,31.5100,26.9080,0.000000
TAP_TAPCELL_ROW_4_41,VGND,li1,44.3900,22.0510,0.000000
TAP_TAPCELL_ROW_4_40,VGND,li1,18.6300,22.0510,0.000000
TAP_TAPCELL_ROW_3_39,VGND,li1,57.2700,21.4680,0.000000
TAP_TAPCELL_ROW_3_38,VGND,li1,31.5100,21.4680,0.000000
TAP_TAPCELL_ROW_2_37,VGND,li1,44.3900,16.6110,0.000000
TAP_TAPCELL_ROW_2_36,VGND,li1,18.6300,16.6110,0.000000
TAP_TAPCELL_ROW_1_35,VGND,li1,57.2700,16.0280,0.000000
TAP_TAPCELL_ROW_1_34,VGND,li1,31.5100,16.0280,0.000000
TAP_TAPCELL_ROW_0_33,VGND,li1,57.2700,11.1710,0.000001
TAP_TAPCELL_ROW_0_32,VGND,li1,44.3900,11.1710,0.000001
